mail_type,version,subject,subject_uuid,body,body_uuid
mojeid_email_change,1,mojeid-email-change-subject.txt,8a69b731-4cfb-438f-b200-0e1b65a5643a,mojeid-email-change-body.txt,61ae43ad-e381-492d-b6e8-78c7cfd02a46
conditional_contact_identification,1,conditional-contact-identification-subject.txt,bc0bc4ad-d298-4117-9254-b73ad8481769,conditional-contact-identification-body.txt,780885a8-ae20-4379-9fa7-a431bd22e984
conditional_contact_identification,2,conditional-contact-identification-subject.txt,bc0bc4ad-d298-4117-9254-b73ad8481769,conditional-contact-identification-body.txt,02cfa190-e7d0-4870-8025-4a6a97a652fc
contact_identification,1,contact-identification-subject.txt,d53a251b-112a-470e-9a7d-c0c5cf4e5c99,contact-identification-body.txt,b92e18e6-8f53-43e4-b014-c1726bd7a6e5
mojeid_verified_contact_transfer,1,mojeid-verified-contact-transfer-subject.txt,64732321-189b-4f01-865a-ff3d78e725de,mojeid-verified-contact-transfer-body.txt,ddbff591-4ef7-4908-8fc7-852ae2aa3ec2
merge_contacts_auto,1,merge-contacts-auto-subject.txt,636f4a10-532d-420d-bc8c-28ac5010cd26,merge-contacts-auto-body.txt,9b9e23de-1985-4b86-9a36-0a2216842ca5
contact_check_notice,1,contact-check-notice-subject.txt,606c3208-78b9-45b3-8a5b-6aff38577fea,contact-check-notice-body.txt,cf9c3b7f-034f-47b6-9f61-91fbef731636
contact_check_warning,1,contact-check-warning-subject.txt,c9f26973-c396-42f6-8cb5-8633f5e28ca7,contact-check-warning-body.txt,238de0c9-54f6-49f9-bf60-1b4f4b895ac6
expiration_dns_warning_owner,1,expiration-dns-warning-owner-subject.txt,d28db69e-ae71-4b6b-8bb3-b9db54b783a9,expiration-dns-warning-owner-body.txt,e1696570-534a-46ff-a731-38570501b139
expiration_dns_warning_owner,2,expiration-dns-warning-owner-subject.txt,d28db69e-ae71-4b6b-8bb3-b9db54b783a9,expiration-dns-warning-owner-body.txt,7ea5c6fa-e15a-4c79-8d4b-1b2a71e3284f
expiration_dns_warning_owner,3,expiration-dns-warning-owner-subject.txt,d28db69e-ae71-4b6b-8bb3-b9db54b783a9,expiration-dns-warning-owner-body.txt,e1696570-534a-46ff-a731-38570501b139
akm_candidate_state_ok,1,akm-candidate-state-ok-subject.txt,6483cd8b-81cf-4ee0-a132-4dccaa6c4db7,akm-candidate-state-ok-body.txt,7115cc35-dd4c-4762-934d-033944f3b986
akm_candidate_state_ko,1,akm-candidate-state-ko-subject.txt,1f57a6f3-ad5c-4d41-9747-81e093a72a7f,akm-candidate-state-ko-body.txt,96c48a9e-1182-41fe-b710-eb1526a9e19a
akm_keyset_update,1,akm-keyset-update-subject.txt,1fb9dfb7-43f9-4231-8e68-288bda495016,akm-keyset-update-body.txt,7f508d29-c46c-4e27-885a-e7b097b5e627
record_statement,1,record-statement-subject.txt,dc01efa9-3c2b-41f0-a131-feddec71d5e4,record-statement-body.txt,0b2c7f19-42d8-4424-ad7c-abd459c279fb
sendpersonalinfo_pif,1,send-personalinfo-pif-subject.txt,d8afee62-f8cc-479d-a346-851cddd5e84a,send-personalinfo-pif-body.txt,cbddde19-fd06-4d05-9cf3-f7d47c76acef
